Dataset,#Subj,#Chan,#Classes,#Trials / class,Trials length (s),Freq (Hz),#Sessions,#Runs,Total_trials
AlexMI,8,16,3,20,3.0,512,1,1,480
BNCI2003_004,5,118,2,84,3.5,100,1,1,1400
BNCI2014_001,9,22,4,144,4.0,250,2,6,62208
BNCI2014_002,14,15,2,80,5.0,512,1,8,17920
BNCI2014_004,9,3,2,360,4.5,250,5,1,32400
BNCI2015_001,12,13,2,200,5.0,512,3,1,14400
BNCI2015_004,9,30,5,80,7.0,256,2,1,7200
Cho2017,52,64,2,100,3.0,512,1,1,9800
Lee2019_MI,54,62,2,100,4.0,1000,2,1,11000
GrosseWentrup2009,10,128,2,150,7.0,500,1,1,3000
Schirrmeister2017,14,128,4,120,4.0,500,1,2,13440
Ofner2017,15,61,7,60,3.0,512,1,10,63000
PhysionetMI,109,64,4,23,3.0,160,1,1,69760
Shin2017A,29,30,2,30,10.0,200,3,1,5220
Shin2017B,29,30,2,30,10.0,200,3,1,5220
Weibo2014,10,60,7,80,4.0,200,1,1,5600
Zhou2016,4,14,3,160,5.0,250,3,2,11496
Stieger2021,62,64,4,450,3.0,1000,7 or 11,1,250000
Liu2024,50,29,2,20,4.0,500,1,1,2000
Beetl2021_A,4,63,4,224,4.0,500,1,1,1490
Beetl2021_B,2,32,4,160,4.0,200,1,1,1590
Dreyer2023A,60,27,2,20,5.0,512,1,6,14400
Dreyer2023B,21,27,2,20,5.0,512,1,6,5040
Dreyer2023C,6,27,2,20,5.0,512,1,6,1440
Dreyer2023,87,27,2,20,5.0,512,1,6,20880
BNCI2020_001,15,varies (11-64),3,80,5.0,256,3,4,7200
BNCI2022_001,13,67,4,varies,90.0,256,1,1,varies
BNCI2024_001,20,64,10,varies,3.0,512,1,1,varies
BNCI2025_001,20,64,16,varies,4.0,500,1,1,varies
BNCI2025_002,20,64,3,varies,8.0,200,3,1,varies
BNCI2019_001,10,64,5,varies,3.0,256,1,9,varies
Tavakolan2017,12,32,3,20,3.0,1000,4,1,2880
Zhang2017,12,17,10,30,4.0,1000,1,15,4321
Kaya2018,7,19,3,80,1.0,200,3,1,16126
Kumar2024,18,22,2,varies,5.0,512,6,varies,7156
Rozado2015,30,32,2,25,6.0,512,1,2,1550
Brandl2020,16,63,2,36,4.5,1000,1,7,8064
Ma2020,25,62,2,300,4.0,200,15,1,15000
Wairagkar2018,14,19,3,40,6.0,1024,1,1,1665
Zhou2020,20,26,4,60,5.0,500,7,6,33600
Wu2020,6,132,2,varies,4.0,1000,1,varies,1114
Jeong2020,25,60,11,50,4.0,2500,3,3,41250
Yang2025,62,59,3,100,7.5,1000,3,1,39600
Forenzo2023,25,64,2,varies,60.0,1000,5,3,1875
TrianaGuzman2024,32,17,4,varies,15.0,250,1,1,7680
Chang2025,28,59,3,40,6.0,1000,4,1,13440
GuttmannFlury2025_MI,31,62,2,20,7.5,1000,3,1,2520
HefmiIch2025,37,32,2,15,27.0,256,3,1,3330
Yi2025,18,62,8,40,4.0,250,1,1,5760
Gao2026,22,32,10,40,4.0,1000,2,3,16800
Zuo2025,30,30,2,50,4.0,500,5,1,15000
Liu2025,27,64,2,40,5.0,1000,3,4,8640
