,Score,Dataset,Subject,Pipeline,Time
0,0.68625,BNCI 2014-002 Motor Imagery,1.0,CSP+LDA,0.4596743583679199
1,0.8712500000000001,BNCI 2014-002 Motor Imagery,2.0,CSP+LDA,0.4556574821472168
2,1.0,BNCI 2014-002 Motor Imagery,3.0,CSP+LDA,0.45812368392944336
3,0.9525,BNCI 2014-002 Motor Imagery,4.0,CSP+LDA,0.4589052200317383
4,0.7775000000000001,BNCI 2014-002 Motor Imagery,5.0,CSP+LDA,0.45527219772338867
5,0.845,BNCI 2014-002 Motor Imagery,6.0,CSP+LDA,0.4886322021484375
6,0.925,BNCI 2014-002 Motor Imagery,7.0,CSP+LDA,0.48639702796936035
7,0.59875,BNCI 2014-002 Motor Imagery,8.0,CSP+LDA,0.517005443572998
8,0.94875,BNCI 2014-002 Motor Imagery,9.0,CSP+LDA,0.46811342239379883
9,0.6487499999999999,BNCI 2014-002 Motor Imagery,10.0,CSP+LDA,0.4767899513244629
10,0.91875,BNCI 2014-002 Motor Imagery,11.0,CSP+LDA,0.4599885940551758
11,0.8575,BNCI 2014-002 Motor Imagery,12.0,CSP+LDA,0.4604451656341553
12,0.7175,BNCI 2014-002 Motor Imagery,13.0,CSP+LDA,0.4560706615447998
13,0.5387500000000001,BNCI 2014-002 Motor Imagery,14.0,CSP+LDA,0.5087382793426514
