,Score,Dataset,Subject,Pipeline,Time
0,0.7075,BNCI 2014-002 Motor Imagery,1.0,MDM,2.336839199066162
1,0.8574999999999999,BNCI 2014-002 Motor Imagery,2.0,MDM,2.322100877761841
2,1.0,BNCI 2014-002 Motor Imagery,3.0,MDM,2.256887912750244
3,0.935,BNCI 2014-002 Motor Imagery,4.0,MDM,2.357503890991211
4,0.81375,BNCI 2014-002 Motor Imagery,5.0,MDM,2.3589015007019043
5,0.8625,BNCI 2014-002 Motor Imagery,6.0,MDM,2.4278156757354736
6,0.92125,BNCI 2014-002 Motor Imagery,7.0,MDM,2.349743604660034
7,0.9125000000000001,BNCI 2014-002 Motor Imagery,8.0,MDM,3.0831453800201416
8,0.95625,BNCI 2014-002 Motor Imagery,9.0,MDM,2.5721914768218994
9,0.7775000000000001,BNCI 2014-002 Motor Imagery,10.0,MDM,2.2413418292999268
10,0.93125,BNCI 2014-002 Motor Imagery,11.0,MDM,2.4064323902130127
11,0.82375,BNCI 2014-002 Motor Imagery,12.0,MDM,2.2287487983703613
12,0.7225,BNCI 2014-002 Motor Imagery,13.0,MDM,2.1141107082366943
13,0.63875,BNCI 2014-002 Motor Imagery,14.0,MDM,2.6192216873168945
