,Score,Dataset,Subject,Pipeline,Time
0,0.745,BNCI 2014-002 Motor Imagery,1.0,TS,2.534235715866089
1,0.87125,BNCI 2014-002 Motor Imagery,2.0,TS,2.5064821243286133
2,1.0,BNCI 2014-002 Motor Imagery,3.0,TS,2.4934186935424805
3,0.96625,BNCI 2014-002 Motor Imagery,4.0,TS,2.5630080699920654
4,0.885,BNCI 2014-002 Motor Imagery,5.0,TS,2.562443733215332
5,0.8825,BNCI 2014-002 Motor Imagery,6.0,TS,2.6627955436706543
6,0.95875,BNCI 2014-002 Motor Imagery,7.0,TS,2.543588876724243
7,0.93875,BNCI 2014-002 Motor Imagery,8.0,TS,3.5015814304351807
8,0.95625,BNCI 2014-002 Motor Imagery,9.0,TS,2.7662014961242676
9,0.73375,BNCI 2014-002 Motor Imagery,10.0,TS,2.3785154819488525
10,0.92125,BNCI 2014-002 Motor Imagery,11.0,TS,2.6286849975585938
11,0.845,BNCI 2014-002 Motor Imagery,12.0,TS,2.552159547805786
12,0.78,BNCI 2014-002 Motor Imagery,13.0,TS,2.3150634765625
13,0.68125,BNCI 2014-002 Motor Imagery,14.0,TS,3.040848731994629
