,Score,Dataset,Subject,Pipeline,Time
0,0.865,Openvibe Motor Imagery,1.0,CSP+LDA,0.10875105857849121
1,0.9116666666666667,Openvibe Motor Imagery,2.0,CSP+LDA,0.07948017120361328
2,0.8458333333333334,Openvibe Motor Imagery,3.0,CSP+LDA,0.09652948379516602
3,0.9333333333333333,Openvibe Motor Imagery,4.0,CSP+LDA,0.09725761413574219
4,0.7916666666666666,Openvibe Motor Imagery,5.0,CSP+LDA,0.10001969337463379
5,0.865,Openvibe Motor Imagery,6.0,CSP+LDA,0.09989523887634277
6,0.9875,Openvibe Motor Imagery,7.0,CSP+LDA,0.07935047149658203
7,0.7491666666666668,Openvibe Motor Imagery,8.0,CSP+LDA,0.1020975112915039
8,0.9083333333333332,Openvibe Motor Imagery,9.0,CSP+LDA,0.0989389419555664
9,0.8166666666666668,Openvibe Motor Imagery,10.0,CSP+LDA,0.09632372856140137
10,0.9275,Openvibe Motor Imagery,11.0,CSP+LDA,0.09970784187316895
11,0.85,Openvibe Motor Imagery,12.0,CSP+LDA,0.09678459167480469
12,0.975,Openvibe Motor Imagery,13.0,CSP+LDA,0.09595727920532227
13,0.9047619047619049,Openvibe Motor Imagery,14.0,CSP+LDA,0.09873819351196289
14,0.613095238095238,Physionet Motor Imagery,1.0,CSP+LDA,0.10443615913391113
15,0.7976190476190478,Physionet Motor Imagery,2.0,CSP+LDA,0.10553336143493652
16,0.4583333333333333,Physionet Motor Imagery,3.0,CSP+LDA,0.17948365211486816
17,0.6369047619047619,Physionet Motor Imagery,4.0,CSP+LDA,0.12148332595825195
18,0.5535714285714286,Physionet Motor Imagery,5.0,CSP+LDA,0.11239337921142578
19,0.5654761904761905,Physionet Motor Imagery,6.0,CSP+LDA,0.12068605422973633
20,0.9940476190476191,Physionet Motor Imagery,7.0,CSP+LDA,0.10877275466918945
21,0.4583333333333333,Physionet Motor Imagery,8.0,CSP+LDA,0.10904574394226074
22,0.6607142857142857,Physionet Motor Imagery,9.0,CSP+LDA,0.12506747245788574
23,0.7202380952380952,Physionet Motor Imagery,10.0,CSP+LDA,0.10678577423095703
24,0.6428571428571429,Physionet Motor Imagery,11.0,CSP+LDA,0.12011957168579102
25,0.5357142857142857,Physionet Motor Imagery,12.0,CSP+LDA,0.11754035949707031
26,0.7261904761904762,Physionet Motor Imagery,13.0,CSP+LDA,0.10714149475097656
27,0.6011904761904762,Physionet Motor Imagery,14.0,CSP+LDA,0.1055002212524414
28,0.7142857142857143,Physionet Motor Imagery,15.0,CSP+LDA,0.19226765632629395
29,0.5714285714285714,Physionet Motor Imagery,16.0,CSP+LDA,0.19591355323791504
30,0.7202380952380952,Physionet Motor Imagery,17.0,CSP+LDA,0.09844112396240234
31,0.4702380952380952,Physionet Motor Imagery,18.0,CSP+LDA,0.11811304092407227
32,0.4761904761904762,Physionet Motor Imagery,19.0,CSP+LDA,0.11614465713500977
33,0.6488095238095237,Physionet Motor Imagery,20.0,CSP+LDA,0.19294047355651855
34,0.6726190476190476,Physionet Motor Imagery,21.0,CSP+LDA,0.11919999122619629
35,0.7321428571428571,Physionet Motor Imagery,22.0,CSP+LDA,0.11506819725036621
36,0.5357142857142857,Physionet Motor Imagery,23.0,CSP+LDA,0.1845567226409912
37,0.4226190476190476,Physionet Motor Imagery,24.0,CSP+LDA,0.1064295768737793
38,0.5773809523809524,Physionet Motor Imagery,25.0,CSP+LDA,0.10786175727844238
39,0.6309523809523809,Physionet Motor Imagery,26.0,CSP+LDA,0.1086893081665039
40,0.48214285714285715,Physionet Motor Imagery,27.0,CSP+LDA,0.19476914405822754
41,0.44047619047619047,Physionet Motor Imagery,28.0,CSP+LDA,0.10528707504272461
42,1.0,Physionet Motor Imagery,29.0,CSP+LDA,0.11159873008728027
43,0.4761904761904761,Physionet Motor Imagery,30.0,CSP+LDA,0.1101539134979248
44,0.8452380952380952,Physionet Motor Imagery,31.0,CSP+LDA,0.201279878616333
45,0.8869047619047619,Physionet Motor Imagery,32.0,CSP+LDA,0.11213850975036621
46,0.7202380952380952,Physionet Motor Imagery,33.0,CSP+LDA,0.11706042289733887
47,0.8095238095238094,Physionet Motor Imagery,34.0,CSP+LDA,0.19541573524475098
48,0.6964285714285715,Physionet Motor Imagery,35.0,CSP+LDA,0.10932111740112305
49,0.5833333333333333,Physionet Motor Imagery,36.0,CSP+LDA,0.12070870399475098
50,0.5119047619047619,Physionet Motor Imagery,37.0,CSP+LDA,0.11748290061950684
51,0.5357142857142857,Physionet Motor Imagery,38.0,CSP+LDA,0.19755887985229492
52,0.7023809523809524,Physionet Motor Imagery,39.0,CSP+LDA,0.22797369956970215
53,0.4761904761904762,Physionet Motor Imagery,40.0,CSP+LDA,0.19568371772766113
54,0.5535714285714285,Physionet Motor Imagery,41.0,CSP+LDA,0.27464938163757324
55,0.8392857142857143,Physionet Motor Imagery,42.0,CSP+LDA,0.11744022369384766
56,0.8095238095238096,Physionet Motor Imagery,43.0,CSP+LDA,0.11646223068237305
57,0.5178571428571429,Physionet Motor Imagery,44.0,CSP+LDA,0.18614530563354492
58,0.6428571428571428,Physionet Motor Imagery,45.0,CSP+LDA,0.09963417053222656
59,0.6547619047619048,Physionet Motor Imagery,46.0,CSP+LDA,0.11574625968933105
60,0.5238095238095237,Physionet Motor Imagery,47.0,CSP+LDA,0.10765886306762695
61,0.8630952380952381,Physionet Motor Imagery,48.0,CSP+LDA,0.10513424873352051
62,0.8809523809523809,Physionet Motor Imagery,49.0,CSP+LDA,0.10739707946777344
63,0.5654761904761905,Physionet Motor Imagery,50.0,CSP+LDA,0.19394326210021973
64,0.5714285714285714,Physionet Motor Imagery,51.0,CSP+LDA,0.1930403709411621
65,0.7619047619047619,Physionet Motor Imagery,52.0,CSP+LDA,0.0977790355682373
66,0.9047619047619048,Physionet Motor Imagery,53.0,CSP+LDA,0.11233258247375488
67,0.8452380952380952,Physionet Motor Imagery,54.0,CSP+LDA,0.10960793495178223
68,0.7857142857142856,Physionet Motor Imagery,55.0,CSP+LDA,0.10555267333984375
69,0.9285714285714285,Physionet Motor Imagery,56.0,CSP+LDA,0.1141824722290039
70,0.6607142857142857,Physionet Motor Imagery,57.0,CSP+LDA,0.12012195587158203
71,0.5476190476190476,Physionet Motor Imagery,58.0,CSP+LDA,0.19504547119140625
72,0.4761904761904762,Physionet Motor Imagery,59.0,CSP+LDA,0.10089445114135742
73,0.8869047619047619,Physionet Motor Imagery,60.0,CSP+LDA,0.11908268928527832
74,0.6785714285714285,Physionet Motor Imagery,61.0,CSP+LDA,0.10726594924926758
75,1.0,Physionet Motor Imagery,62.0,CSP+LDA,0.19516897201538086
76,0.6607142857142857,Physionet Motor Imagery,63.0,CSP+LDA,0.19504523277282715
77,0.5476190476190476,Physionet Motor Imagery,64.0,CSP+LDA,0.19342350959777832
78,0.6190476190476191,Physionet Motor Imagery,65.0,CSP+LDA,0.20203661918640137
79,0.5178571428571429,Physionet Motor Imagery,66.0,CSP+LDA,0.10590767860412598
80,0.5,Physionet Motor Imagery,67.0,CSP+LDA,0.12110781669616699
81,0.6071428571428571,Physionet Motor Imagery,68.0,CSP+LDA,0.10734224319458008
82,0.5952380952380952,Physionet Motor Imagery,69.0,CSP+LDA,0.26033997535705566
83,0.8869047619047619,Physionet Motor Imagery,70.0,CSP+LDA,0.11609196662902832
